epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4531,3.18151,6.13679,2.93445,0.00149,0.38211,0.00839,0.00321,3.61261,5.33558,3.25468,0.000408497,0.000408497,0.000408497
2,20.6854,2.38663,4.19452,2.25791,0.4988,0.36902,0.32938,0.12608,2.32511,3.32334,2.05257,0.000743472,0.000743472,0.000743472
3,30.0439,2.08346,3.37295,1.97724,0.73548,0.27471,0.44425,0.20022,2.0078,3.46593,1.86464,0.000995948,0.000995948,0.000995948
4,39.4979,1.93001,2.8895,1.85499,0.3555,0.47559,0.41417,0.1933,1.96989,2.68448,1.81984,0.00087875,0.00087875,0.00087875
5,48.4291,1.82464,2.62762,1.7817,0.53226,0.42416,0.49829,0.23418,1.86253,2.38117,1.7035,0.000755,0.000755,0.000755
6,57.4183,1.80733,2.3321,1.74646,0.46595,0.47209,0.50763,0.2429,1.85121,2.06683,1.68312,0.00063125,0.00063125,0.00063125
7,66.299,1.72562,2.25201,1.71253,0.44258,0.4916,0.514,0.24664,1.70621,1.98605,1.58163,0.0005075,0.0005075,0.0005075
8,75.2722,1.72768,2.10668,1.67292,0.48627,0.53571,0.5342,0.27733,1.74565,1.80014,1.64332,0.00038375,0.00038375,0.00038375
9,84.1401,1.69203,2.01409,1.65999,0.53253,0.53774,0.52666,0.26958,1.68413,1.83363,1.56043,0.00026,0.00026,0.00026
10,92.9083,1.62366,1.93054,1.61078,0.59841,0.52971,0.55698,0.27379,1.68843,1.77031,1.57603,0.00013625,0.00013625,0.00013625
