epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.527,1.89555,3.77407,1.8769,0.00753,0.64837,0.13658,0.05028,1.90581,4.13261,1.86807,0.000408497,0.000408497,0.000408497
2,48.4277,1.85248,2.89402,1.79752,0.30113,0.19309,0.11432,0.0308,2.50622,3.97513,2.67063,0.000808825,0.000808825,0.000808825
3,70.5995,1.88707,2.70914,1.80579,0.36435,0.24664,0.30488,0.1164,2.46659,4.5825,2.36442,0.00119265,0.00119265,0.00119265
4,92.0928,1.86912,2.41322,1.83037,0.14369,0.57506,0.24514,0.1038,2.45294,4.85423,2.65828,0.00117575,0.00117575,0.00117575
5,114.008,1.86275,2.26328,1.79405,0.24788,0.41071,0.26687,0.1122,2.4608,4.3192,2.4388,0.001151,0.001151,0.001151
6,133.419,1.81723,2.10004,1.76817,0.19598,0.64993,0.30512,0.1294,2.38297,3.57868,2.26401,0.00112625,0.00112625,0.00112625
7,155.843,1.79284,2.07018,1.76376,0.42239,0.40403,0.36661,0.10004,2.27961,2.8001,2.07968,0.0011015,0.0011015,0.0011015
8,176.729,1.74981,1.94877,1.71989,0.21543,0.56269,0.31646,0.1153,2.29156,2.28454,2.12106,0.00107675,0.00107675,0.00107675
9,197.111,1.73862,1.81814,1.7279,0.29418,0.45828,0.39245,0.15386,2.08588,2.51514,1.92683,0.001052,0.001052,0.001052
10,220.788,1.7551,1.80616,1.6993,0.37086,0.64439,0.53604,0.16108,2.27465,2.06423,2.03949,0.00102725,0.00102725,0.00102725
11,241.267,1.72003,1.75552,1.69351,0.36157,0.70872,0.5303,0.22819,2.06769,1.83088,1.90259,0.0010025,0.0010025,0.0010025
12,263.02,1.74555,1.69982,1.68281,0.40308,0.52222,0.44449,0.16271,2.18818,2.02722,2.06334,0.00097775,0.00097775,0.00097775
13,285.366,1.68281,1.62936,1.66402,0.41931,0.67049,0.56075,0.23259,1.86908,1.7764,1.77021,0.000953,0.000953,0.000953
14,305.378,1.68697,1.59745,1.64988,0.33626,0.44943,0.41374,0.19546,2.02926,2.12164,1.93249,0.00092825,0.00092825,0.00092825
15,327.155,1.67848,1.61218,1.6486,0.51949,0.61806,0.58979,0.2192,1.89591,1.76328,1.76319,0.0009035,0.0009035,0.0009035
16,349.403,1.59524,1.53012,1.61039,0.34588,0.64437,0.50259,0.22828,1.95607,1.91314,1.85917,0.00087875,0.00087875,0.00087875
17,369.459,1.70343,1.63474,1.64162,0.42141,0.66957,0.55329,0.2277,2.05729,1.6455,1.85971,0.000854,0.000854,0.000854
18,391.575,1.6376,1.58564,1.60409,0.47073,0.72464,0.59543,0.22949,1.91004,1.70454,1.76989,0.00082925,0.00082925,0.00082925
19,413.328,1.6446,1.51012,1.6308,0.44595,0.6838,0.59515,0.24346,1.97998,1.7088,1.87027,0.0008045,0.0008045,0.0008045
20,434.534,1.6158,1.52156,1.62458,0.45773,0.59085,0.54318,0.22107,2.02867,1.73844,1.88332,0.00077975,0.00077975,0.00077975
21,456.114,1.56101,1.40596,1.55601,0.50004,0.65522,0.60215,0.27228,1.90138,1.69046,1.75317,0.000755,0.000755,0.000755
22,477.029,1.62535,1.4825,1.5825,0.56448,0.65766,0.61332,0.2733,1.86523,1.55103,1.71822,0.00073025,0.00073025,0.00073025
23,498.501,1.5662,1.43631,1.59534,0.48046,0.67383,0.56782,0.21779,1.99654,1.70113,1.88991,0.0007055,0.0007055,0.0007055
24,519.902,1.55474,1.42668,1.57828,0.42121,0.61466,0.53167,0.22739,1.98354,1.69553,1.87335,0.00068075,0.00068075,0.00068075
25,541.195,1.519,1.416,1.5389,0.55153,0.64629,0.58263,0.25218,1.87879,1.6056,1.74653,0.000656,0.000656,0.000656
26,562.245,1.574,1.45872,1.59159,0.46334,0.66714,0.59009,0.24514,1.89197,1.51127,1.74771,0.00063125,0.00063125,0.00063125
27,583.94,1.51661,1.42214,1.54166,0.48975,0.62781,0.59526,0.27076,1.8904,1.5611,1.80201,0.0006065,0.0006065,0.0006065
28,606.831,1.52863,1.39575,1.55858,0.44447,0.7027,0.57431,0.25273,1.92371,1.52404,1.78382,0.00058175,0.00058175,0.00058175
29,628.224,1.51727,1.42422,1.53348,0.61212,0.74783,0.73986,0.31249,1.81984,1.38673,1.67068,0.000557,0.000557,0.000557
30,649.208,1.52138,1.36706,1.51934,0.57383,0.69395,0.69698,0.29737,1.81635,1.36279,1.65896,0.00053225,0.00053225,0.00053225
31,671.181,1.50763,1.36818,1.52362,0.51486,0.66861,0.57237,0.25095,1.85473,1.39393,1.71331,0.0005075,0.0005075,0.0005075
32,692.169,1.53839,1.35761,1.54952,0.57806,0.62275,0.66542,0.2866,1.84509,1.32828,1.68691,0.00048275,0.00048275,0.00048275
33,713.701,1.50947,1.33646,1.5083,0.50294,0.65005,0.65216,0.29707,1.88114,1.45079,1.7657,0.000458,0.000458,0.000458
34,734.941,1.4542,1.32951,1.5052,0.51334,0.70836,0.64865,0.28136,1.86933,1.33683,1.73196,0.00043325,0.00043325,0.00043325
35,755.361,1.45404,1.29719,1.47802,0.65516,0.66742,0.69763,0.29205,1.84137,1.38892,1.73875,0.0004085,0.0004085,0.0004085
36,777.583,1.46937,1.28561,1.51038,0.60039,0.68335,0.64851,0.29484,1.79653,1.37627,1.69787,0.00038375,0.00038375,0.00038375
37,799.367,1.42621,1.28123,1.49686,0.64237,0.70847,0.66012,0.29263,1.84603,1.44965,1.7306,0.000359,0.000359,0.000359
38,821.512,1.47146,1.28511,1.50171,0.63045,0.64595,0.67462,0.28096,1.8142,1.31071,1.67604,0.00033425,0.00033425,0.00033425
39,843.244,1.44564,1.27526,1.47429,0.66796,0.74953,0.71607,0.31961,1.81066,1.30473,1.66325,0.0003095,0.0003095,0.0003095
40,863.233,1.40613,1.23772,1.47763,0.6254,0.74261,0.69376,0.28965,1.8622,1.32582,1.7118,0.00028475,0.00028475,0.00028475
41,885.874,1.54101,1.28649,1.58647,0.70066,0.69326,0.70213,0.3098,1.85631,1.23277,1.71906,0.00026,0.00026,0.00026
42,908.287,1.47611,1.27457,1.5511,0.61071,0.70516,0.67363,0.29473,1.79133,1.26031,1.65095,0.00023525,0.00023525,0.00023525
43,928.654,1.47359,1.22129,1.56424,0.68863,0.68956,0.68126,0.31378,1.82849,1.20284,1.70158,0.0002105,0.0002105,0.0002105
44,950.558,1.45591,1.19068,1.52573,0.73228,0.78345,0.76918,0.33513,1.74357,1.19157,1.59241,0.00018575,0.00018575,0.00018575
45,972.421,1.4151,1.19462,1.49777,0.68633,0.70682,0.73614,0.31548,1.75413,1.18843,1.62372,0.000161,0.000161,0.000161
46,993.038,1.39068,1.13816,1.48911,0.65748,0.70789,0.73092,0.33366,1.74033,1.22703,1.61437,0.00013625,0.00013625,0.00013625
47,1014.93,1.40558,1.13767,1.50989,0.71152,0.72131,0.73041,0.33506,1.72007,1.17189,1.59467,0.0001115,0.0001115,0.0001115
48,1035.17,1.39897,1.13316,1.50184,0.70873,0.70979,0.73938,0.34526,1.73371,1.15369,1.61856,8.675e-05,8.675e-05,8.675e-05
49,1054.94,1.3698,1.14954,1.46958,0.69403,0.69422,0.69885,0.32945,1.73124,1.15679,1.61874,6.2e-05,6.2e-05,6.2e-05
50,1077.28,1.3826,1.12676,1.47195,0.7108,0.7166,0.71308,0.33843,1.72224,1.15633,1.60913,3.725e-05,3.725e-05,3.725e-05
