epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7766,1.9474,3.78025,1.89382,0.0054,0.71174,0.1458,0.07558,1.84684,4.00261,1.78656,0.000408497,0.000408497,0.000408497
2,20.1396,1.8005,2.86031,1.78361,0.65589,0.1318,0.15462,0.07912,2.01608,3.84958,2.15139,0.000808825,0.000808825,0.000808825
3,29.4083,1.90551,2.65785,1.82927,0.38793,0.21404,0.26003,0.07886,2.37232,4.13783,2.34684,0.00119265,0.00119265,0.00119265
4,38.59,1.88872,2.44771,1.82566,0.24336,0.58885,0.31812,0.1028,2.51039,4.30713,2.75144,0.00117575,0.00117575,0.00117575
5,47.7262,1.82439,2.20817,1.80122,0.32482,0.4243,0.36091,0.13035,2.39,3.2992,2.31505,0.001151,0.001151,0.001151
6,56.7334,1.80652,2.11893,1.75534,0.31874,0.40652,0.27989,0.09887,2.3088,2.72773,2.378,0.00112625,0.00112625,0.00112625
7,65.6868,1.78907,1.93419,1.74722,0.23354,0.67437,0.39517,0.15693,2.23219,2.37634,2.19233,0.0011015,0.0011015,0.0011015
8,74.7023,1.77426,1.90136,1.75713,0.23923,0.58421,0.35553,0.14629,2.32246,2.34927,2.12546,0.00107675,0.00107675,0.00107675
9,83.7523,1.77493,1.80227,1.73792,0.44013,0.56592,0.40341,0.16528,2.08656,2.09818,1.99884,0.001052,0.001052,0.001052
10,93.2596,1.75862,1.79512,1.69279,0.31161,0.57376,0.4656,0.19193,2.31562,2.40311,2.15911,0.00102725,0.00102725,0.00102725
11,102.342,1.71869,1.76589,1.66581,0.3975,0.527,0.41675,0.17366,2.18001,1.86829,2.08626,0.0010025,0.0010025,0.0010025
12,111.274,1.68614,1.67978,1.66588,0.35949,0.54669,0.44224,0.1851,2.12121,2.02775,1.94482,0.00097775,0.00097775,0.00097775
13,120.182,1.69357,1.64964,1.65632,0.27086,0.55136,0.34753,0.14874,2.02187,2.0198,1.90088,0.000953,0.000953,0.000953
14,129.058,1.67574,1.62516,1.66012,0.42553,0.53268,0.5059,0.2041,2.05018,1.90202,1.91047,0.00092825,0.00092825,0.00092825
15,138.162,1.68735,1.55953,1.64172,0.44599,0.61957,0.51464,0.18643,2.13147,1.83566,1.92508,0.0009035,0.0009035,0.0009035
16,147.107,1.64127,1.53566,1.62064,0.33203,0.73547,0.51229,0.20551,1.90685,2.06318,1.80775,0.00087875,0.00087875,0.00087875
17,156.131,1.64668,1.57003,1.62597,0.44049,0.67013,0.5563,0.22052,1.92063,1.80557,1.78515,0.000854,0.000854,0.000854
18,165.065,1.64518,1.57059,1.61986,0.56821,0.57048,0.59268,0.26056,1.98099,1.68117,1.84968,0.00082925,0.00082925,0.00082925
19,174.015,1.58208,1.46698,1.57129,0.42099,0.62948,0.53537,0.21273,2.01648,1.6109,1.93965,0.0008045,0.0008045,0.0008045
20,182.963,1.58536,1.47169,1.60962,0.41059,0.62778,0.56083,0.24126,1.91588,1.53536,1.91869,0.00077975,0.00077975,0.00077975
21,191.895,1.60596,1.4413,1.59788,0.48901,0.62739,0.51926,0.21925,1.96699,1.56431,1.82452,0.000755,0.000755,0.000755
22,200.78,1.58669,1.44913,1.5856,0.50524,0.60291,0.52964,0.23005,1.83793,1.71992,1.75025,0.00073025,0.00073025,0.00073025
23,209.852,1.56349,1.42388,1.57201,0.57301,0.66954,0.58213,0.23746,1.84727,1.53007,1.71454,0.0007055,0.0007055,0.0007055
24,218.853,1.58118,1.43945,1.58436,0.41532,0.70108,0.56632,0.26498,1.89236,1.44573,1.77213,0.00068075,0.00068075,0.00068075
25,227.937,1.57709,1.46442,1.57601,0.44638,0.65719,0.56821,0.24644,1.86144,1.67191,1.78092,0.000656,0.000656,0.000656
26,236.872,1.53733,1.40324,1.56242,0.56534,0.64371,0.61702,0.26265,1.83371,1.39558,1.76619,0.00063125,0.00063125,0.00063125
27,245.925,1.563,1.44195,1.57846,0.44075,0.57183,0.58195,0.23556,1.84509,1.59033,1.74889,0.0006065,0.0006065,0.0006065
28,254.904,1.55401,1.40969,1.52769,0.59937,0.67419,0.60838,0.27659,1.81163,1.4585,1.70192,0.00058175,0.00058175,0.00058175
29,264.033,1.51161,1.36473,1.54092,0.53411,0.73052,0.60843,0.25704,1.90818,1.53809,1.7646,0.000557,0.000557,0.000557
30,273.686,1.5189,1.37176,1.5433,0.48142,0.72473,0.62381,0.26383,1.91468,1.52875,1.78063,0.00053225,0.00053225,0.00053225
31,283.015,1.51427,1.35171,1.5242,0.61817,0.66929,0.65291,0.27775,1.81839,1.32865,1.66452,0.0005075,0.0005075,0.0005075
32,292.169,1.50974,1.40412,1.5602,0.45359,0.70514,0.62531,0.27512,1.81675,1.38681,1.67027,0.00048275,0.00048275,0.00048275
33,301.278,1.45914,1.30139,1.5056,0.49445,0.74547,0.64433,0.28799,1.76976,1.31291,1.70785,0.000458,0.000458,0.000458
34,310.388,1.50239,1.32619,1.51706,0.5654,0.71775,0.70156,0.29698,1.79271,1.30672,1.64958,0.00043325,0.00043325,0.00043325
35,319.47,1.44257,1.30154,1.49088,0.52422,0.69497,0.66317,0.29394,1.77598,1.27685,1.66854,0.0004085,0.0004085,0.0004085
36,328.47,1.44282,1.2963,1.49666,0.50696,0.73197,0.66213,0.29347,1.80884,1.33338,1.69623,0.00038375,0.00038375,0.00038375
37,337.468,1.4294,1.25683,1.47343,0.64008,0.74287,0.7196,0.29389,1.86312,1.35753,1.71644,0.000359,0.000359,0.000359
38,346.456,1.46563,1.29124,1.48067,0.5874,0.78576,0.71538,0.32167,1.74215,1.3136,1.61026,0.00033425,0.00033425,0.00033425
39,355.558,1.41142,1.27777,1.47331,0.46557,0.67558,0.59067,0.27615,1.82507,1.2664,1.74184,0.0003095,0.0003095,0.0003095
40,364.566,1.42865,1.25955,1.47967,0.61947,0.75027,0.71668,0.3205,1.76945,1.19647,1.6547,0.00028475,0.00028475,0.00028475
41,374.572,1.49336,1.25664,1.54316,0.60196,0.69148,0.69389,0.31065,1.77277,1.20706,1.66708,0.00026,0.00026,0.00026
42,383.456,1.45234,1.17645,1.52946,0.57272,0.68715,0.67628,0.29902,1.77401,1.30855,1.62214,0.00023525,0.00023525,0.00023525
43,392.276,1.45917,1.18531,1.53251,0.63604,0.74085,0.70006,0.31443,1.78773,1.18115,1.65518,0.0002105,0.0002105,0.0002105
44,401.179,1.4543,1.18426,1.50672,0.66908,0.70847,0.71281,0.31733,1.76336,1.20597,1.6167,0.00018575,0.00018575,0.00018575
45,410.069,1.39052,1.14448,1.47866,0.63697,0.74031,0.721,0.334,1.71293,1.21961,1.57491,0.000161,0.000161,0.000161
46,418.996,1.41149,1.16646,1.49906,0.65979,0.70663,0.71923,0.31357,1.75116,1.19122,1.61987,0.00013625,0.00013625,0.00013625
47,427.88,1.40134,1.14653,1.49994,0.69283,0.77717,0.73813,0.34036,1.74231,1.16317,1.62458,0.0001115,0.0001115,0.0001115
48,436.769,1.40703,1.14068,1.49556,0.70257,0.78517,0.7345,0.33532,1.74505,1.17381,1.62274,8.675e-05,8.675e-05,8.675e-05
49,445.782,1.39302,1.10998,1.48874,0.61598,0.7475,0.72695,0.32608,1.7387,1.1762,1.61047,6.2e-05,6.2e-05,6.2e-05
50,455.028,1.38713,1.15073,1.48248,0.64709,0.73565,0.72425,0.33422,1.74723,1.15837,1.62181,3.725e-05,3.725e-05,3.725e-05
